Grupo;Família;Espécie (FB_2020);Nome popular;Origem;Endemismo;Especie;Categoria;Critério;Data avaliação;Reavaliação?;Histórico de Avaliações;Endêmica do Brasil?;Ameaças cadastradas;Ações de conservação
Angiospermas;Asteraceae;Lychnophora passerina (Mart. ex DC.) Gardner;;NATIVA;Endemica;Lychnophora passerina;NT;;2013;;;Sim;1 Habitat Loss/Degradation (human induced)|1 Habitat Loss/Degradation (human induced);4.4 Protected areas|1.2.1.3 Sub-national level
Angiospermas;Asteraceae;Lychnophora phylicifolia DC.;;NATIVA;Endemica;Lychnophora phylicifolia;DD;;2013;;;Sim;1 Habitat Loss/Degradation (human induced)|1.1 Agriculture;1.2.1.2 National level|4.4 Protected areas
Angiospermas;Asteraceae;Lychnophora pinaster Mart.;;NATIVA;Endemica;Lychnophora pinaster;NT;;2019;Sim - Não Ameaçadas LV 2013;Inéditas não ameaçadas (NT, DD, LC);Sim;3.2 Mining & quarrying|3.2 Mining & quarrying|2.3 Livestock farming & ranching|8.1 Invasive non-native/alien species/diseases;5 Law & policy|1 Land/water protection|5 Law & policy|5 Law & policy
Angiospermas;Asteraceae;Lychnophora pohlii Sch.Bip.;;NATIVA;Endemica;Lychnophora pohlii;VU;B1b(i,ii,iii,iv)+2ab(i,ii,iii,iv);2019;Sim;"Reavaliada: Mudou para categoria MENOS restritiva; Continuou em P443 em categoria ameaçada";Sim;3.2 Mining & quarrying|2.3 Livestock farming & ranching|8.1 Invasive non-native/alien species/diseases|1.3 Tourism & recreation areas;5 Law & policy|1 Land/water protection|5 Law & policy|5 Law & policy
Angiospermas;Asteraceae;Lychnophora ramosissima Gardner;;NATIVA;Endemica;Lychnophora ramosissima;VU;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.3.1 Mining|1.4.2 Human settlement|1.4.3 Tourism/recreation|1.1.1.1 Shifting Agriculture|1.7 Fire|1.3.3.1 Small-scale subsistence;1.2.1.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Lychnophora rosmarinifolia Mart.;;NATIVA;Endemica;Lychnophora rosmarinifolia;VU;B2ab(i,ii,iii,iv);2019;Sim;"Reavaliada: Mudou para categoria MENOS restritiva; Continuou em P443 em categoria ameaçada";Sim;3.2 Mining & quarrying|2.3 Livestock farming & ranching;5 Law & policy|1 Land/water protection|5 Law & policy|5 Law & policy
Angiospermas;Asteraceae;Lychnophora rupestris Semir;;NATIVA;Endemica;Lychnophora rupestris;EN;B1ab(i,ii,iii);2019;Não se aplica;Inéditas ameaçadas (CR, EN, VU);Sim;2.3 Livestock farming & ranching|3.2 Mining & quarrying|8.1 Invasive non-native/alien species/diseases|7.1 Fire & fire suppression|1.3 Tourism & recreation areas;5.1.2 National level|1.1 Site/area protection
Angiospermas;Asteraceae;Lychnophora souzae H.Rob.;;NATIVA;Endemica;Lychnophora souzae;CR;B1ab(i,ii,iii);2019;Sim;Continuou em P443 na mesma categoria de ameaça (após reavaliação);Sim;3.2 Mining & quarrying|1 Residential & commercial development|1.3 Tourism & recreation areas|2.3 Livestock farming & ranching|7.1.1 Increase in fire frequency/intensity|5.3 Logging & wood harvesting|7 Natural system modifications;5.1.2 National level|5.1.3 Sub-national level|1.1 Site/area protection|5.1.2 National level
Angiospermas;Asteraceae;Lychnophora staavioides Mart.;;NATIVA;Endemica;Lychnophora staavioides;EN;B1ab(i,ii,iii);2019;Não se aplica;Inéditas ameaçadas (CR, EN, VU);Sim;1.3 Tourism & recreation areas|2.1 Annual & perennial non-timber crops|2.3 Livestock farming & ranching|7.1 Fire & fire suppression;5.1.2 National level|1.1 Site/area protection
Angiospermas;Asteraceae;Lychnophora villosissima Mart.;;NATIVA;Endemica;Lychnophora villosissima;VU;B2ab(i,ii,iii,iv);2019;Sim;"Reavaliada: Mudou para categoria MENOS restritiva; Continuou em P443 em categoria ameaçada";Sim;3.2 Mining & quarrying|2.2 Wood & pulp plantations|2.3 Livestock farming & ranching|5.3 Logging & wood harvesting|7 Natural system modifications;5.1.2 National level|5.4.3 Sub-national level|1.1 Site/area protection|5.1.2 National level
